equipment_type,manufacturer,condition,age_years,operating_hours,original_value,listing_price,location,seller_type,has_maintenance_records,has_warranty,photos_count,description_length,listing_month,price_to_original_ratio,hours_per_year,time_to_sale_days
Dump Truck,Volvo,Fair,22.1,69586,443445,42089,New South Wales,Equipment Dealer,True,False,5,205,8,0.095,3148,11.0
Bulldozer,Komatsu,Good,6.1,11621,648863,273166,Western Australia,Equipment Dealer,False,False,6,218,2,0.421,1906,26.0
Excavator,Liebherr,Needs Repair,13.4,33402,511430,65527,Western Australia,Mining Company,True,True,8,209,12,0.128,2486,18.8
Wheel Loader,JCB,Good,1.2,1867,283396,203427,Queensland,Mining Company,True,False,12,193,12,0.718,1578,21.7
Crusher,Caterpillar,Fair,1.5,7612,806936,451979,Chile,Mining Company,True,True,9,120,5,0.56,5087,37.7
Crusher,Komatsu,Needs Repair,4.7,17026,970587,287225,Queensland,Construction Company,True,True,7,171,4,0.296,3644,60.4
Excavator,Komatsu,Needs Repair,8.7,21079,448402,93897,Queensland,Mining Company,False,False,12,172,8,0.209,2427,20.7
Crusher,JCB,Fair,6.9,34023,887942,293946,Queensland,Rental Company,True,False,6,187,4,0.331,4922,50.4
Crusher,Caterpillar,Good,3.0,15161,827018,438830,Queensland,Mining Company,True,False,6,297,9,0.531,5080,24.9
Excavator,Volvo,Fair,11.4,19160,558804,116907,Western Australia,Rental Company,False,False,7,172,4,0.209,1675,28.7
Dump Truck,Liebherr,Fair,11.4,31213,429925,108035,South Africa,Construction Company,True,False,11,178,4,0.251,2742,19.0
Wheel Loader,Komatsu,Excellent,3.3,7902,305053,191732,Nevada USA,Mining Company,False,False,9,146,8,0.629,2376,31.7
Excavator,Komatsu,Needs Repair,6.6,14178,543202,116527,Nevada USA,Rental Company,False,False,8,249,5,0.215,2162,20.6
Excavator,Komatsu,Needs Repair,12.0,24691,466101,66814,Nevada USA,Equipment Dealer,True,False,5,125,4,0.143,2055,28.7
Crusher,JCB,Fair,4.0,13387,867094,350420,Chile,Equipment Dealer,True,False,4,162,10,0.404,3338,36.4
Crusher,Liebherr,Good,3.4,16096,777598,425329,Queensland,Mining Company,True,False,5,223,12,0.547,4760,25.6
Excavator,Volvo,Needs Repair,7.9,12778,401992,79407,South Africa,Mining Company,False,False,5,222,8,0.198,1623,21.5
Excavator,Volvo,Good,23.4,46424,462356,52032,New South Wales,Construction Company,True,False,9,265,12,0.113,1984,9.7
Crusher,Liebherr,Excellent,1.8,7629,819386,596857,Western Australia,Mining Company,True,False,15,153,5,0.728,4131,39.4
Crusher,Caterpillar,Good,5.2,18846,983943,527693,Alberta Canada,Mining Company,True,False,11,254,9,0.536,3655,37.0
Excavator,Komatsu,Good,2.2,3960,580069,340649,Nevada USA,Equipment Dealer,True,False,9,261,10,0.587,1805,11.3
Bulldozer,Volvo,Fair,24.4,54819,525480,44590,Queensland,Equipment Dealer,True,False,7,157,6,0.085,2249,24.1
Excavator,Liebherr,Needs Repair,11.0,28477,576086,92030,Queensland,Mining Company,True,False,10,179,4,0.16,2592,31.8
Excavator,Liebherr,Good,10.2,24441,420424,133553,Western Australia,Rental Company,True,False,11,113,11,0.318,2407,16.5
Crusher,Komatsu,Good,8.5,38039,810042,280664,Western Australia,Equipment Dealer,True,False,5,204,9,0.346,4485,19.7
Excavator,Liebherr,Good,8.4,15712,416132,156840,Queensland,Mining Company,True,False,6,195,10,0.377,1860,9.7
Crusher,Komatsu,Good,3.9,14019,922416,485049,South Africa,Rental Company,True,False,9,97,11,0.526,3592,27.6
Excavator,Komatsu,Excellent,1.9,3295,427551,334666,Chile,Equipment Dealer,True,False,6,134,9,0.783,1718,23.2
Bulldozer,JCB,Good,2.3,4972,450457,254048,New South Wales,Mining Company,True,False,6,159,5,0.564,2165,36.2
Bulldozer,Caterpillar,Excellent,6.0,12251,707304,390294,Chile,Construction Company,True,False,7,112,11,0.552,2049,36.8
Crusher,JCB,Excellent,2.2,6637,688022,509037,South Africa,Mining Company,True,False,9,169,8,0.74,3003,20.2
Excavator,Komatsu,Excellent,14.5,25490,616008,171987,Nevada USA,Mining Company,True,False,11,286,10,0.279,1756,8.4
Wheel Loader,Caterpillar,Excellent,4.7,12648,383747,254282,Nevada USA,Construction Company,True,False,10,171,10,0.663,2669,41.7
Dump Truck,JCB,Good,5.3,14117,402498,176505,Alberta Canada,Equipment Dealer,True,True,4,172,12,0.439,2661,12.8
Dump Truck,Liebherr,Good,3.9,12919,359539,198603,Queensland,Construction Company,False,False,7,139,10,0.552,3274,27.9
Wheel Loader,Komatsu,Good,14.6,34030,347453,76488,Nevada USA,Equipment Dealer,True,False,10,198,11,0.22,2336,22.9
Dump Truck,Caterpillar,Needs Repair,1.1,4056,395651,140901,Nevada USA,Rental Company,True,False,13,170,4,0.356,3583,25.6
Bulldozer,JCB,Fair,18.0,29257,448946,64143,Nevada USA,Rental Company,False,True,6,167,3,0.143,1623,31.5
Dump Truck,Caterpillar,Good,10.0,37794,390584,124408,Queensland,Rental Company,False,False,15,261,7,0.319,3772,17.7
Dump Truck,JCB,Fair,5.9,12298,418895,142659,New South Wales,Mining Company,False,False,9,221,5,0.341,2100,26.8
Wheel Loader,Volvo,Fair,1.6,3358,358045,180829,South Africa,Construction Company,True,True,8,184,5,0.505,2144,25.5
Dump Truck,Caterpillar,Fair,3.8,13599,452089,185556,Nevada USA,Equipment Dealer,True,True,13,143,5,0.41,3609,9.7
Crusher,Komatsu,Excellent,25.0,85353,1080513,116132,New South Wales,Mining Company,True,True,13,136,4,0.107,3414,7.0
Wheel Loader,Caterpillar,Excellent,8.0,12902,418343,198985,Alberta Canada,Construction Company,False,True,15,149,5,0.476,1603,14.1
Wheel Loader,Caterpillar,Excellent,12.5,35001,395901,125436,Queensland,Rental Company,False,False,7,193,1,0.317,2805,13.6
Dump Truck,Generic,Good,16.1,57617,351588,74796,Queensland,Equipment Dealer,True,True,5,242,3,0.213,3586,10.6
Excavator,Komatsu,Fair,2.7,4115,482193,225364,Alberta Canada,Mining Company,True,True,8,293,5,0.467,1509,14.0
Wheel Loader,Komatsu,Good,25.0,43096,300841,25306,Chile,Mining Company,False,False,13,220,9,0.084,1724,12.0
Bulldozer,Komatsu,Good,1.8,4214,655705,390839,South Africa,Rental Company,True,False,13,237,2,0.596,2293,22.6
Bulldozer,JCB,Good,1.3,2616,581605,365560,Nevada USA,Rental Company,True,False,6,208,3,0.629,2045,30.2
Dump Truck,Caterpillar,Good,1.5,3639,439709,291515,New South Wales,Construction Company,True,False,7,221,12,0.663,2402,19.6
Wheel Loader,Liebherr,Good,6.0,16350,390509,167750,Alberta Canada,Equipment Dealer,True,False,9,175,6,0.43,2720,16.6
Wheel Loader,Komatsu,Good,1.6,3350,429145,280622,South Africa,Mining Company,True,False,13,193,7,0.654,2105,28.8
Crusher,Volvo,Good,4.4,18431,697825,333138,Alberta Canada,Equipment Dealer,False,True,10,290,11,0.477,4157,32.8
Wheel Loader,Liebherr,Excellent,14.6,33449,400982,116725,Nevada USA,Mining Company,True,True,10,195,2,0.291,2287,7.0
Wheel Loader,Generic,Fair,3.0,6092,304809,134185,Queensland,Rental Company,True,False,15,138,6,0.44,2009,26.0
Bulldozer,Komatsu,Good,19.0,30812,616800,89694,Western Australia,Mining Company,True,True,2,126,9,0.145,1619,8.2
Wheel Loader,Komatsu,Good,16.7,26275,331394,56940,Alberta Canada,Equipment Dealer,False,True,9,276,12,0.172,1571,12.0
Bulldozer,Komatsu,Good,16.8,28777,559507,105748,South Africa,Rental Company,True,False,7,192,12,0.189,1715,25.5
Excavator,Caterpillar,Needs Repair,22.4,32763,560218,35045,South Africa,Rental Company,False,False,11,112,11,0.063,1462,32.3
Dump Truck,Komatsu,Good,2.6,7410,481490,310861,Queensland,Mining Company,True,True,9,182,9,0.646,2865,23.2
Wheel Loader,Caterpillar,Good,6.8,16097,390589,165847,New South Wales,Construction Company,True,True,5,166,12,0.425,2382,27.5
Dump Truck,Caterpillar,Excellent,13.6,39046,510928,140984,Alberta Canada,Construction Company,True,True,8,178,11,0.276,2867,14.5
Crusher,Liebherr,Good,10.7,53052,736297,219457,New South Wales,Equipment Dealer,True,True,9,258,1,0.298,4979,12.4
Excavator,Generic,Good,3.4,5650,310869,193297,New South Wales,Construction Company,True,True,7,169,12,0.622,1667,29.7
Excavator,Caterpillar,Good,3.6,9123,519556,286660,Western Australia,Equipment Dealer,False,False,12,123,1,0.552,2549,15.4
Dump Truck,Liebherr,Excellent,8.2,21424,446338,188097,New South Wales,Rental Company,False,True,7,162,2,0.421,2610,11.8
Dump Truck,Caterpillar,Good,12.2,42931,455816,113719,Queensland,Equipment Dealer,True,False,13,192,9,0.249,3522,7.8
Excavator,Volvo,Good,5.4,11594,542944,257439,New South Wales,Rental Company,False,False,8,187,5,0.474,2150,32.7
Bulldozer,Hitachi,Good,4.1,7794,549277,301458,Alberta Canada,Construction Company,False,True,6,65,12,0.549,1888,28.2
Dump Truck,Caterpillar,Fair,4.2,13731,487722,204026,Alberta Canada,Mining Company,True,False,7,260,8,0.418,3253,28.3
Dump Truck,Komatsu,Good,13.5,32422,368575,83373,New South Wales,Rental Company,True,False,8,223,8,0.226,2399,14.9
Crusher,Hitachi,Good,11.5,50713,791528,214109,New South Wales,Equipment Dealer,False,False,12,196,6,0.271,4413,18.9
Excavator,Caterpillar,Good,18.4,29015,535459,84970,Nevada USA,Mining Company,True,False,10,196,12,0.159,1574,9.5
Conveyor System,Liebherr,Fair,17.9,133816,1335325,181079,New South Wales,Equipment Dealer,False,False,10,239,4,0.136,7462,25.2
Wheel Loader,Liebherr,Needs Repair,1.3,2528,289638,97407,New South Wales,Construction Company,True,False,8,187,9,0.336,1909,60.0
Excavator,Generic,Good,7.0,16836,380220,145986,South Africa,Mining Company,False,False,9,296,8,0.384,2418,22.5
Excavator,Hitachi,Fair,6.4,9556,477744,157165,New South Wales,Equipment Dealer,True,False,7,256,8,0.329,1489,12.6
Wheel Loader,Komatsu,Good,6.4,11426,363307,168353,South Africa,Mining Company,False,False,9,169,10,0.463,1787,23.1
Bulldozer,JCB,Excellent,14.3,19068,420255,105777,Nevada USA,Equipment Dealer,False,False,17,187,2,0.252,1330,11.5
Excavator,Komatsu,Fair,9.3,16585,551510,161040,South Africa,Rental Company,True,False,7,282,10,0.292,1792,23.6
Bulldozer,Liebherr,Fair,9.4,18252,487436,126486,Nevada USA,Equipment Dealer,True,False,14,271,7,0.259,1942,23.4
Dump Truck,Komatsu,Good,4.3,12066,500433,282452,New South Wales,Equipment Dealer,True,False,13,190,1,0.564,2807,18.5
Dump Truck,Komatsu,Fair,4.3,16525,380186,167750,Alberta Canada,Mining Company,True,False,6,166,5,0.441,3862,28.6
Wheel Loader,Liebherr,Good,3.1,8150,352256,211723,Chile,Equipment Dealer,True,False,11,158,6,0.601,2610,28.1
Excavator,Caterpillar,Excellent,9.4,14337,614673,259475,Nevada USA,Equipment Dealer,True,True,11,274,12,0.422,1521,9.2
Crusher,Caterpillar,Good,2.3,11801,802596,521307,Nevada USA,Mining Company,True,False,10,253,3,0.65,5067,47.3
Excavator,JCB,Good,7.5,11294,368498,140212,Nevada USA,Rental Company,True,False,9,165,5,0.38,1503,20.2
Crusher,Komatsu,Fair,3.7,11098,921766,399953,Chile,Rental Company,True,False,11,173,7,0.434,2969,31.6
Crusher,Caterpillar,Good,24.1,114966,1068222,115566,Chile,Equipment Dealer,True,False,12,269,8,0.108,4777,13.1
Conveyor System,Volvo,Needs Repair,5.1,37542,1466224,412714,Alberta Canada,Rental Company,True,False,8,242,1,0.281,7295,36.6
Excavator,JCB,Fair,9.9,19424,406415,107945,South Africa,Mining Company,True,False,6,189,9,0.266,1961,17.7
Dump Truck,Caterpillar,Good,10.2,35062,386663,130943,South Africa,Rental Company,True,True,15,167,1,0.339,3442,16.6
Dump Truck,Caterpillar,Good,1.2,3099,501717,369952,New South Wales,Mining Company,True,False,7,201,5,0.737,2683,62.3
Crusher,Liebherr,Good,12.9,42623,849192,219921,New South Wales,Mining Company,True,False,9,179,4,0.259,3300,22.0
Conveyor System,Komatsu,Good,3.3,13670,1600433,838503,South Africa,Mining Company,True,False,13,109,10,0.524,4200,31.0
Wheel Loader,Komatsu,Good,8.2,21057,340385,116629,Chile,Mining Company,True,False,13,183,11,0.343,2568,8.6
Wheel Loader,Volvo,Fair,1.7,2914,354899,201044,Chile,Mining Company,False,False,10,230,2,0.566,1683,31.7
Bulldozer,Caterpillar,Fair,4.3,8679,571732,239525,Alberta Canada,Mining Company,True,True,12,128,5,0.419,2015,18.1
Conveyor System,Caterpillar,Good,3.4,18409,1396417,774186,Alberta Canada,Mining Company,True,False,4,148,8,0.554,5487,36.2
Wheel Loader,Liebherr,Needs Repair,8.7,21786,321397,63230,Alberta Canada,Rental Company,False,False,7,207,1,0.197,2498,37.3
Wheel Loader,Liebherr,Good,3.2,6745,404486,247991,Alberta Canada,Rental Company,True,False,10,168,8,0.613,2109,17.6
Bulldozer,Caterpillar,Fair,6.9,14593,506410,180085,Nevada USA,Rental Company,True,True,11,229,6,0.356,2106,28.5
Dump Truck,Hitachi,Fair,9.3,34027,411809,114416,Chile,Rental Company,False,False,12,273,12,0.278,3667,25.7
Excavator,Caterpillar,Fair,10.0,18441,614045,174976,South Africa,Mining Company,True,False,7,198,12,0.285,1839,18.7
Bulldozer,Hitachi,Good,8.6,15552,599135,208512,Nevada USA,Construction Company,True,False,7,301,9,0.348,1818,14.6
Excavator,Liebherr,Fair,4.8,8740,463084,202063,South Africa,Equipment Dealer,True,False,13,208,4,0.436,1823,18.3
Conveyor System,Komatsu,Good,6.0,40522,1501249,681536,Western Australia,Mining Company,True,False,7,98,6,0.454,6786,45.8
Bulldozer,Komatsu,Fair,1.3,1946,625852,360442,Nevada USA,Rental Company,True,False,7,232,9,0.576,1501,40.4
Bulldozer,Caterpillar,Fair,13.4,19773,732136,137950,Nevada USA,Rental Company,False,False,14,190,3,0.188,1471,13.8
Bulldozer,Volvo,Good,7.7,15751,619758,241268,Nevada USA,Equipment Dealer,False,False,10,251,8,0.389,2032,15.9
Conveyor System,Komatsu,Good,11.6,50652,1237044,376466,New South Wales,Mining Company,True,True,5,202,4,0.304,4371,33.8
Excavator,Komatsu,Fair,1.5,2177,490714,244394,Alberta Canada,Equipment Dealer,False,False,8,223,8,0.498,1472,17.6
Wheel Loader,JCB,Excellent,2.5,5147,288490,207913,New South Wales,Equipment Dealer,True,False,7,158,7,0.721,2087,27.6
Excavator,Caterpillar,Good,8.7,19092,464069,176671,Queensland,Mining Company,False,False,7,251,6,0.381,2195,11.6
Wheel Loader,Caterpillar,Needs Repair,8.1,21214,369767,79086,Queensland,Rental Company,True,True,3,169,10,0.214,2615,16.6
Crusher,JCB,Fair,1.2,5829,769710,437826,Alberta Canada,Construction Company,False,False,7,213,4,0.569,4687,63.8
Excavator,Caterpillar,Fair,1.6,3181,522263,255875,Western Australia,Equipment Dealer,True,False,4,208,5,0.49,1939,22.8
Bulldozer,Komatsu,Good,14.7,27763,500516,113013,Chile,Mining Company,True,False,8,198,7,0.226,1882,13.6
Crusher,Liebherr,Fair,10.6,32052,972239,224646,New South Wales,Mining Company,True,False,11,253,2,0.231,3010,27.0
Dump Truck,Komatsu,Fair,1.8,6560,511376,277210,Nevada USA,Mining Company,True,True,9,267,11,0.542,3747,18.4
Wheel Loader,Caterpillar,Needs Repair,8.1,19612,427282,88479,Western Australia,Equipment Dealer,False,False,10,159,6,0.207,2407,15.7
Wheel Loader,Caterpillar,Fair,1.5,2495,373937,193521,New South Wales,Mining Company,False,True,10,255,12,0.518,1686,32.2
Excavator,Komatsu,Good,9.1,22267,508152,188009,Queensland,Mining Company,False,False,4,277,4,0.37,2460,24.8
Wheel Loader,Volvo,Excellent,2.8,6832,383097,268273,New South Wales,Rental Company,False,True,11,229,4,0.7,2449,18.4
Wheel Loader,Komatsu,Excellent,20.1,50465,334389,56050,South Africa,Equipment Dealer,True,True,13,214,12,0.168,2505,9.5
Dump Truck,Volvo,Good,8.7,29316,461578,162435,Queensland,Mining Company,True,False,12,131,4,0.352,3383,21.7
Bulldozer,Hitachi,Good,14.5,21723,610403,132136,Queensland,Mining Company,True,False,12,215,3,0.216,1499,17.2
Crusher,Generic,Good,13.9,39685,686017,169218,Chile,Rental Company,False,False,8,166,9,0.247,2853,35.6
Dump Truck,Caterpillar,Good,11.4,28931,451392,123928,South Africa,Equipment Dealer,True,True,7,197,11,0.275,2531,9.1
Bulldozer,Liebherr,Fair,3.4,7377,675679,305250,Nevada USA,Mining Company,False,False,13,159,3,0.452,2169,35.3
Wheel Loader,Caterpillar,Excellent,18.7,42965,310270,64541,South Africa,Equipment Dealer,True,False,6,178,12,0.208,2298,12.6
Dump Truck,Caterpillar,Needs Repair,10.2,33528,442531,81058,Chile,Mining Company,True,False,6,229,9,0.183,3298,27.3
Excavator,Liebherr,Good,1.9,2763,400530,253017,South Africa,Equipment Dealer,True,False,7,250,3,0.632,1460,20.7
Wheel Loader,JCB,Good,10.1,20382,244463,83374,Alberta Canada,Mining Company,False,True,9,247,12,0.341,2028,17.9
Excavator,Generic,Fair,21.9,39631,381267,38151,Western Australia,Rental Company,True,False,8,290,9,0.1,1810,24.0
Bulldozer,JCB,Fair,7.0,9686,448654,148814,Western Australia,Construction Company,False,False,10,180,1,0.332,1383,52.7
Bulldozer,Liebherr,Good,3.7,5488,581267,317949,South Africa,Mining Company,True,False,7,246,6,0.547,1486,28.0
Wheel Loader,Liebherr,Good,2.5,7027,345344,195035,Chile,Construction Company,False,False,9,174,1,0.565,2846,50.3
Crusher,Hitachi,Good,5.1,21957,741082,374517,South Africa,Equipment Dealer,True,False,8,173,6,0.505,4298,38.0
Wheel Loader,JCB,Good,9.1,21672,329308,118476,Western Australia,Mining Company,True,False,9,279,10,0.36,2371,24.2
Wheel Loader,Liebherr,Fair,11.5,30877,411433,99638,Alberta Canada,Equipment Dealer,True,False,9,212,4,0.242,2680,14.5
Dump Truck,Caterpillar,Fair,3.5,7604,446003,210080,Western Australia,Mining Company,False,True,11,252,4,0.471,2195,34.9
Bulldozer,Komatsu,Excellent,5.8,9184,544076,284017,Western Australia,Rental Company,False,True,8,247,2,0.522,1571,31.8
Dump Truck,Caterpillar,Needs Repair,7.9,23663,508077,114749,New South Wales,Construction Company,True,False,6,111,9,0.226,2977,25.1
Conveyor System,Caterpillar,Fair,3.3,23852,1527114,718535,Nevada USA,Mining Company,True,True,11,160,7,0.471,7333,40.1
Bulldozer,Generic,Excellent,5.9,10159,432674,252275,Queensland,Rental Company,True,False,11,141,3,0.583,1713,33.6
Dump Truck,Komatsu,Good,1.7,3633,506644,310509,South Africa,Equipment Dealer,True,True,7,184,4,0.613,2106,23.1
Excavator,Generic,Good,3.8,8798,346993,177639,Western Australia,Mining Company,False,False,13,193,6,0.512,2321,20.4
Crusher,Liebherr,Good,3.5,14416,891672,529484,Western Australia,Mining Company,True,True,10,203,3,0.594,4171,24.6
Crusher,Komatsu,Good,1.9,5630,882898,518835,Alberta Canada,Mining Company,True,False,9,210,10,0.588,2924,46.2
Crusher,Hitachi,Excellent,11.0,32335,830295,309857,Queensland,Rental Company,True,False,11,168,4,0.373,2951,29.6
Dump Truck,Liebherr,Good,9.4,36643,433932,152493,Nevada USA,Rental Company,True,False,8,238,3,0.351,3900,26.2
Crusher,Caterpillar,Excellent,4.5,13967,985233,601640,Nevada USA,Equipment Dealer,True,False,8,208,11,0.611,3126,41.1
Excavator,JCB,Excellent,25.0,48578,472107,55021,New South Wales,Rental Company,True,False,7,248,12,0.117,1943,9.6
Bulldozer,Caterpillar,Fair,1.5,2471,564234,291391,Western Australia,Construction Company,True,False,11,159,1,0.516,1666,26.4
Wheel Loader,Caterpillar,Excellent,4.5,10986,357952,229224,Chile,Mining Company,True,False,10,175,12,0.64,2454,17.3
Excavator,Liebherr,Good,2.1,3545,571010,384628,South Africa,Equipment Dealer,True,False,9,158,2,0.674,1650,37.7
Wheel Loader,Liebherr,Needs Repair,22.9,35571,292868,18270,New South Wales,Equipment Dealer,False,True,9,187,11,0.062,1552,17.6
Dump Truck,Liebherr,Fair,18.9,46291,348948,44313,New South Wales,Equipment Dealer,True,False,9,204,5,0.127,2446,19.6
Crusher,Komatsu,Good,3.6,13036,940951,474385,New South Wales,Mining Company,False,True,12,147,9,0.504,3598,43.8
Conveyor System,Komatsu,Fair,9.4,61957,1460063,378797,Alberta Canada,Construction Company,True,True,8,285,10,0.259,6614,17.7
Excavator,Caterpillar,Fair,15.7,36060,492463,81976,Chile,Equipment Dealer,True,False,8,182,12,0.166,2296,11.6
Bulldozer,Volvo,Excellent,3.8,8021,550421,328464,Western Australia,Equipment Dealer,True,False,6,321,8,0.597,2134,24.5
Wheel Loader,Volvo,Good,5.1,10227,306898,138461,Alberta Canada,Equipment Dealer,True,True,13,211,9,0.451,2022,16.4
Crusher,Hitachi,Fair,1.1,5543,727960,429023,Alberta Canada,Rental Company,True,False,6,232,2,0.589,4989,66.2
Dump Truck,Komatsu,Good,9.3,35659,495220,178581,New South Wales,Mining Company,True,False,7,175,8,0.361,3838,11.9
Bulldozer,Liebherr,Good,3.2,7357,552186,331495,South Africa,Rental Company,True,False,7,184,1,0.6,2297,28.2
Bulldozer,Liebherr,Fair,9.2,19675,465016,134289,Queensland,Rental Company,True,False,6,248,7,0.289,2145,36.0
Wheel Loader,JCB,Fair,9.3,23750,348581,91412,Chile,Construction Company,True,False,3,284,9,0.262,2543,31.7
Excavator,Caterpillar,Fair,14.5,37730,521034,84165,New South Wales,Mining Company,True,True,9,208,11,0.162,2598,14.2
Wheel Loader,Komatsu,Fair,4.6,7304,437782,189918,New South Wales,Mining Company,True,False,8,245,9,0.434,1577,30.7
Bulldozer,Volvo,Good,25.0,40485,555064,55017,South Africa,Rental Company,True,False,8,170,12,0.099,1619,14.1
Excavator,Hitachi,Good,7.8,13529,391134,146282,Western Australia,Equipment Dealer,True,False,11,226,2,0.374,1724,8.2
Wheel Loader,Generic,Good,7.3,19337,239002,90851,Nevada USA,Rental Company,False,False,12,221,9,0.38,2664,21.4
Crusher,JCB,Excellent,5.1,14515,863201,476244,Chile,Mining Company,True,True,7,230,5,0.552,2864,21.8
Bulldozer,Caterpillar,Excellent,7.4,13125,529073,273365,Western Australia,Equipment Dealer,False,True,15,181,8,0.517,1765,14.1
Excavator,Komatsu,Fair,2.6,4081,511673,240949,New South Wales,Mining Company,True,True,10,209,12,0.471,1575,18.3
Excavator,Komatsu,Excellent,5.7,8251,521148,309753,South Africa,Mining Company,True,False,9,251,12,0.594,1457,24.8
Dump Truck,Caterpillar,Good,6.1,16097,447513,211461,Alberta Canada,Mining Company,False,False,6,198,9,0.473,2619,20.8
Wheel Loader,Hitachi,Good,6.6,10495,291923,123447,South Africa,Mining Company,True,False,8,229,5,0.423,1602,33.5
Excavator,Volvo,Good,10.3,19641,553478,174569,New South Wales,Equipment Dealer,False,False,6,168,4,0.315,1906,23.2
Dump Truck,Caterpillar,Good,2.1,7182,411811,269043,Chile,Mining Company,True,False,6,266,4,0.653,3476,30.5
Wheel Loader,Caterpillar,Good,2.5,4388,312805,204734,Chile,Mining Company,True,False,11,188,7,0.655,1783,22.8
Bulldozer,Volvo,Fair,2.0,4573,569187,282024,Western Australia,Mining Company,False,True,7,163,4,0.495,2330,20.6
Dump Truck,JCB,Excellent,1.4,3280,305616,224419,Chile,Construction Company,False,True,8,203,11,0.734,2329,42.8
Bulldozer,Komatsu,Good,15.8,26488,604963,110175,South Africa,Rental Company,False,True,7,220,12,0.182,1680,18.9
Wheel Loader,Liebherr,Good,6.1,15291,422377,199056,South Africa,Construction Company,True,False,7,201,4,0.471,2520,22.7
Bulldozer,Caterpillar,Needs Repair,3.6,6234,499932,144081,New South Wales,Equipment Dealer,False,False,9,143,10,0.288,1749,35.1
Excavator,Caterpillar,Needs Repair,2.9,7402,476335,162040,South Africa,Equipment Dealer,True,True,3,116,4,0.34,2522,15.3
Excavator,Caterpillar,Good,8.1,14120,488033,192207,Nevada USA,Equipment Dealer,True,False,9,204,2,0.394,1733,9.3
Dump Truck,Komatsu,Fair,15.6,53079,392810,67072,South Africa,Mining Company,True,False,8,228,7,0.171,3405,27.0
Excavator,Komatsu,Fair,11.5,26002,489781,117524,Alberta Canada,Equipment Dealer,False,False,12,238,6,0.24,2265,15.4
Crusher,Volvo,Good,6.0,31077,858332,423450,Nevada USA,Mining Company,True,True,18,165,12,0.493,5153,31.8
Bulldozer,Hitachi,Fair,11.0,23701,436896,108450,Chile,Equipment Dealer,True,True,6,196,7,0.248,2154,19.2
Conveyor System,JCB,Needs Repair,14.4,75774,1069950,125479,Chile,Construction Company,True,True,8,247,8,0.117,5267,31.3
Bulldozer,Komatsu,Good,6.4,9852,548554,253213,Western Australia,Equipment Dealer,False,False,12,231,7,0.462,1531,12.6
Wheel Loader,Hitachi,Needs Repair,8.6,23647,301985,61172,New South Wales,Mining Company,False,False,10,255,8,0.203,2740,24.7
Crusher,Generic,Fair,6.1,25546,513577,174003,Chile,Rental Company,True,True,12,189,9,0.339,4164,25.7
Dump Truck,Volvo,Good,25.0,70742,406379,35823,Chile,Equipment Dealer,True,False,5,135,1,0.088,2830,14.6
Wheel Loader,Volvo,Good,8.0,21190,308604,128316,Chile,Rental Company,False,True,11,250,6,0.416,2652,23.8
Excavator,Liebherr,Good,2.5,3852,507670,281767,Chile,Rental Company,True,False,12,228,8,0.555,1555,39.3
Wheel Loader,JCB,Needs Repair,4.9,8737,342652,85591,New South Wales,Mining Company,True,False,6,228,6,0.25,1769,35.8
Conveyor System,Komatsu,Good,6.1,35368,1389482,663686,South Africa,Rental Company,True,False,11,251,1,0.478,5772,23.4
Conveyor System,Komatsu,Fair,6.1,45650,1544183,599871,New South Wales,Rental Company,True,False,6,131,7,0.388,7435,34.7
Excavator,Generic,Good,2.4,5411,407305,240934,Western Australia,Mining Company,True,False,11,194,6,0.592,2262,20.9
Bulldozer,Caterpillar,Excellent,4.2,7569,513505,298389,Alberta Canada,Equipment Dealer,True,False,10,188,4,0.581,1795,20.1
Wheel Loader,Caterpillar,Excellent,10.8,18478,375359,141111,Nevada USA,Equipment Dealer,True,False,16,262,6,0.376,1714,7.0
Dump Truck,Liebherr,Needs Repair,7.9,25850,464247,91402,New South Wales,Mining Company,True,False,11,208,11,0.197,3268,39.4
Excavator,Caterpillar,Fair,1.1,2338,598829,306182,Queensland,Equipment Dealer,True,False,7,257,11,0.511,2125,19.8
Dump Truck,Caterpillar,Excellent,4.5,15447,532794,339224,Queensland,Mining Company,True,False,8,299,5,0.637,3407,35.1
Excavator,Caterpillar,Good,15.8,26910,647382,126535,South Africa,Equipment Dealer,False,False,17,189,5,0.195,1706,9.8
Dump Truck,Liebherr,Good,25.0,62354,432690,41974,Western Australia,Equipment Dealer,True,True,10,251,2,0.097,2494,14.5
Excavator,Hitachi,Good,2.5,5481,376282,249872,New South Wales,Equipment Dealer,True,False,13,142,9,0.664,2158,29.0
Conveyor System,Caterpillar,Fair,14.6,63981,1485487,280471,South Africa,Equipment Dealer,True,True,8,149,9,0.189,4391,19.9
Dump Truck,Liebherr,Good,5.1,13769,468852,249293,Queensland,Equipment Dealer,False,False,16,93,8,0.532,2699,9.0
Dump Truck,Komatsu,Good,1.4,3320,468307,287368,Queensland,Rental Company,True,False,11,285,6,0.614,2440,34.6
Conveyor System,Komatsu,Needs Repair,3.5,26482,1602969,517472,South Africa,Mining Company,True,True,13,191,5,0.323,7467,22.6
Bulldozer,Generic,Good,7.8,17963,475991,199115,Nevada USA,Mining Company,True,False,10,148,7,0.418,2299,17.0
Dump Truck,Hitachi,Fair,4.6,11261,400033,176159,Chile,Mining Company,False,False,8,162,12,0.44,2445,59.1
